"Location","String Value","String Representation","Data Type"
"102c971cb","[HLM2 Init] Reserving surfaces...","\"[HLM2 Init] Reserving surfaces...\"","ds"
"102c971ed","[HLM2 Init] Initializing language","\"[HLM2 Init] Initializing language\"","ds"
"102c9720f","[HLM2 Init] Loading volume settings...","\"[HLM2 Init] Loading volume settings...\"","ds"
"102c97236","[HLM2 Init] Allocating autosave buffer...","\"[HLM2 Init] Allocating autosave buffer...\"","ds"
"102c97260","tempsave","\"tempsave\"","ds"
"102c97269","splash_fr.png","\"splash_fr.png\"","ds"
"102c97277","splash_de.png","\"splash_de.png\"","ds"
"102c97285","splash_es.png","\"splash_es.png\"","ds"
"102c97293","splash_br.png","\"splash_br.png\"","ds"
"102c972a1","splash_pl.png","\"splash_pl.png\"","ds"
"102c972af","splash_ru.png","\"splash_ru.png\"","ds"
"102c972bd","splash_jp.png","\"splash_jp.png\"","ds"
"102c972cb","splash_en.png","\"splash_en.png\"","ds"
"102c972d9","config:mods/","\"config:mods/\"","ds"
"102c972e6","_data_","\"_data_\"","ds"
"102c972ed","_music_","\"_music_\"","ds"
"102c972f5","music","\"music\"","ds"
"102c972fb","[GB][Loading] ERROR CREATING MUSIC ARCHIVE!","\"[GB][Loading] ERROR CREATING MUSIC ARCHIVE!\"","ds"
"102c97327","[GB][Loading] Mounting music archive %s","\"[GB][Loading] Mounting music archive %s\"","ds"
"102c9734f","_patch_","\"_patch_\"","ds"
"102c97357","[GB][Loading] Patching WAD %s with patch %s","\"[GB][Loading] Patching WAD %s with patch %s\"","ds"
"102c97383","archive","\"archive\"","ds"
"102c9738b","[GB][Loading] No Patch wad found with name %s","\"[GB][Loading] No Patch wad found with name %s\"","ds"
"102c973b9","*.patchwad","\"*.patchwad\"","ds"
"102c973c4","...","\"...\"","ds"
"102c973c8","spr","\"spr\"","ds"
"102c973cc","Face","\"Face\"","ds"
"102c973d1","ENTER FIRST LINE","\"ENTER FIRST LINE\"","ds"
"102c973e2","ENTER SECOND LINE","\"ENTER SECOND LINE\"","ds"
"102c973f4","CLICK TO EDIT","\"CLICK TO EDIT\"","ds"
"102c97402"," / ","\" / \"","ds"
"102c97406","PICK MESSAGE","\"PICK MESSAGE\"","ds"
"102c97413","OK","\"OK\"","ds"
"102c97416","|","\"|\"","ds"
"102c97418","<ENTER TEXT>","\"<ENTER TEXT>\"","ds"
"102c97425","LEFT CLICK AND DRAG TO DRAW DARK AREAS#RIGHT CLICK TO FINISH","\"LEFT CLICK AND DRAG TO DRAW DARK AREAS#RIGHT CLICK TO FINISH\"","ds"
"102c97462","BLUNT","\"BLUNT\"","ds"
"102c97468","CUT","\"CUT\"","ds"
"102c9746c","SHOT","\"SHOT\"","ds"
"102c97471","BLASTED","\"BLASTED\"","ds"
"102c97479","400pts","\"400pts\"","ds"
"102c97480","Jan","\"Jan\"","ds"
"102c97484","Feb","\"Feb\"","ds"
"102c97488","Mar","\"Mar\"","ds"
"102c9748c","Apr","\"Apr\"","ds"
"102c97490","May","\"May\"","ds"
"102c97494","Jun","\"Jun\"","ds"
"102c97498","Jul","\"Jul\"","ds"
"102c9749c","Aug","\"Aug\"","ds"
"102c974a0","Sep","\"Sep\"","ds"
"102c974a4","Oct","\"Oct\"","ds"
"102c974a8","Nov","\"Nov\"","ds"
"102c974ac","Dec","\"Dec\"","ds"
"102c974b0","th","\"th\"","ds"
"102c974b3","st","\"st\"","ds"
"102c974b6","nd","\"nd\"","ds"
"102c974b9","rd","\"rd\"","ds"
"102c974bc","%YEAR%","\"%YEAR%\"","ds"
"102c974c3","%MONTH%","\"%MONTH%\"","ds"
"102c974cb","%DAY%","\"%DAY%\"","ds"
"102c974d1","#","\"#\"","ds"
"102c974d3"," ","\" \"","ds"
"102c974d5","\, ","\"\, \"","ds"
"102c974d8","0","\"0\"","ds"
"102c974da",":","\":\"","ds"
"102c974dc","DOWN UNDER","\"DOWN UNDER\"","ds"
"102c974e7","1ST SCENE","\"1ST SCENE\"","ds"
"102c974f1","EXPOSITION","\"EXPOSITION\"","ds"
"102c974fc","First Act","\"First Act\"","ds"
"102c97506","\Blizzard.mp3","\"\\Blizzard.mp3\"","ds"
"102c97514","UNTITLED","\"UNTITLED\"","ds"
"102c9751d","Hour","\"Hour\"","ds"
"102c97522","Min","\"Min\"","ds"
"102c97526","Day","\"Day\"","ds"
"102c9752a","Month","\"Month\"","ds"
"102c97530","Year","\"Year\"","ds"
"102c97535","00","\"00\"","ds"
"102c97538","01","\"01\"","ds"
"102c9753b","1991","\"1991\"","ds"
"102c97540","MIAMI","\"MIAMI\"","ds"
"102c97546","FLORIDA","\"FLORIDA\"","ds"
"102c9754e","City","\"City\"","ds"
"102c97553","State","\"State\"","ds"
"102c97559","Address","\"Address\"","ds"
"102c97561","FLOOR","\"FLOOR\"","ds"
"102c97567","RUGS","\"RUGS\"","ds"
"102c9756c","TILE","\"TILE\"","ds"
"102c97571","BATHROOM","\"BATHROOM\"","ds"
"102c9757a","STAIRS","\"STAIRS\"","ds"
"102c97581","ASPHALT","\"ASPHALT\"","ds"
"102c97589","TRAIN","\"TRAIN\"","ds"
"102c9758f","OUTDOOR","\"OUTDOOR\"","ds"
"102c97597","LITTER","\"LITTER\"","ds"
"102c9759e","EDGES","\"EDGES\"","ds"
"102c975a4","Build","\"Build\"","ds"
"102c975aa","Items","\"Items\"","ds"
"102c975b0","Enemy","\"Enemy\"","ds"
"102c975b6","Misc","\"Misc\"","ds"
"102c975bb","Level","\"Level\"","ds"
"102c975c1","COMMANDS#-Left click to place tile#-Right click to remove tile#-Hold [SHIFT] and right click to delete multiple#-Hold [CTRL] to place tile freely#-Hold [SHIFT] and click to sample tile#-Use [SCROLL WHEEL] to change tile","\"COMMANDS#-Left click to place tile#-Right click to remove tile#-Hold [SHIFT] and right click to delete multiple#-Hold [CTRL] to place tile freely#-Hold [SHIFT] and click to sample tile#-Use [SCROLL WHEEL] to change tile\"","ds"
"102c9769d","COMMANDS#-Left click to place object#-Right click to remove object#-Hold [SHIFT] and right click to rotate object#-Hold [SHIFT] to snap#-Hold [CTRL] and left click an object to move it#-Use [SCROLL WHEEL] to rotate object","\"COMMANDS#-Left click to place object#-Right click to remove object#-Hold [SHIFT] and right click to rotate object#-Hold [SHIFT] to snap#-Hold [CTRL] and left click an object to move it#-Use [SCROLL WHEEL] to rotate object\"","ds"
"102c9777b","COMMANDS#-Left click to place enemy#-Right click to remove enemy#-Hold [SHIFT] and right click to rotate enemy#-Hold [CTRL] and left click an enemy to move it","\"COMMANDS#-Left click to place enemy#-Right click to remove enemy#-Hold [SHIFT] and right click to rotate enemy#-Hold [CTRL] and left click an enemy to move it\"","ds"
"102c9781a","COMMANDS#-Left click to place object#-Right click to remove object#-Hold [SHIFT] and right click to rotate object","\"COMMANDS#-Left click to place object#-Right click to remove object#-Hold [SHIFT] and right click to rotate object\"","ds"
"102c9788c","COMMANDS#-Left click to place wall#-Right click to remove wall#-Hold [SHIFT] and right click to toggle Vert/Hor","\"COMMANDS#-Left click to place wall#-Right click to remove wall#-Hold [SHIFT] and right click to toggle Vert/Hor\"","ds"
"102c978fc","Untitled","\"Untitled\"","ds"
"102c97905","All Fans","\"All Fans\"","ds"
"102c9790e","The Cop","\"The Cop\"","ds"
"102c97916","The Writer","\"The Writer\"","ds"
"102c97921","All Guns","\"All Guns\"","ds"
"102c9792a","All Styles","\"All Styles\"","ds"
"102c97935","The Rat","\"The Rat\"","ds"
"102c9793d","All Masks","\"All Masks\"","ds"
"102c97947","The Butcher","\"The Butcher\"","ds"
"102c97953","The Henchman","\"The Henchman\"","ds"
"102c97960","The Hammer","\"The Hammer\"","ds"
"102c9796b","Biker","\"Biker\"","ds"
"102c97971","Corey","\"Corey\"","ds"
"102c97977","Tony","\"Tony\"","ds"
"102c9797c","Mark","\"Mark\"","ds"
"102c97981","Alex & Ash","\"Alex & Ash\"","ds"
"102c9798c","Jake","\"Jake\"","ds"
"102c97991","Irvin","\"Irvin\"","ds"
"102c97997","Dallas","\"Dallas\"","ds"
"102c9799e","No Mask","\"No Mask\"","ds"
"102c979a6","Bodyguard","\"Bodyguard\"","ds"
"102c979b0","Dirty Hands","\"Dirty Hands\"","ds"
"102c979bc","Bloodline","\"Bloodline\"","ds"
"102c979c6","Machinegun","\"Machinegun\"","ds"
"102c979d1","Shotgun","\"Shotgun\"","ds"
"102c979d9","Heavy","\"Heavy\"","ds"
"102c979df","Sniper","\"Sniper\"","ds"
"102c979e6","Flamethrower","\"Flamethrower\"","ds"
"102c979f3","NEW","\"NEW\"","ds"
"102c979f7","WARNING!##Placing further enemies may impact#the game's performance","\"WARNING!##Placing further enemies may impact#the game's performance\"","ds"
"102c97a3b","Okay","\"Okay\"","ds"
"102c97a40","WARNING!##You have reached the max amount of#placeable enemies for this floor!","\"WARNING!##You have reached the max amount of#placeable enemies for this floor!\"","ds"
"102c97a8f","WARNING!#The player is placed outside the level#boundaries. Please relocate player or#adjust the level boundaries.","\"WARNING!#The player is placed outside the level#boundaries. Please relocate player or#adjust the level boundaries.\"","ds"
"102c97b02","Floor Transition","\"Floor Transition\"","ds"
"102c97b13","YOU NEED AT LEAST TWO FLOORS TO#CREATE A TRANSITION!","\"YOU NEED AT LEAST TWO FLOORS TO#CREATE A TRANSITION!\"","ds"
"102c97b48","Elevator","\"Elevator\"","ds"
"102c97b51","LEVEL_COVER","\"LEVEL_COVER\"","ds"
"102c97b5d","WEAPONS","\"WEAPONS\"","ds"
"102c97b65","VEHICLE","\"VEHICLE\"","ds"
"102c97b6d","NONE","\"NONE\"","ds"
"102c97b72","ADD A LEVEL COVER#-Click cover to add your own#-Your sprite needs to be:# [ 34 pixels wide ]# [ 57 pixels high ]# [ PNG ]","\"ADD A LEVEL COVER#-Click cover to add your own#-Your sprite needs to be:# [ 34 pixels wide ]# [ 57 pixels high ]# [ PNG ]\"","ds"
"102c97bec","AUTHOR:","\"AUTHOR:\"","ds"
"102c97bf4","S-RANK SCORE","\"S-RANK SCORE\"","ds"
"102c97c01","LEVEL TITLE","\"LEVEL TITLE\"","ds"
"102c97c0d","Player","\"Player\"","ds"
"102c97c14","500pts","\"500pts\"","ds"
"102c97c1b","\player","\"\\player\"","ds"
"102c97c23","\tempsave.sav","\"\\tempsave.sav\"","ds"
"102c97c31","<img>ctrl_restart</img>","\"<img>ctrl_restart</img>\"","ds"
